department,position,scale_point,annual_rat(€)
TECHNICAL,LABORATORY_ATTENDANT,9,"38,429"

#SERVICE STAFF

SERVICE_STAFF,SEN_PORTER/ATTENDANT,1,"41,472"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,2,"41,678"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,3,"41,873"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,4,"41,984"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,5,"42,103"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,6,"42,213"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,7,"42,325"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,8,"42,445"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,9,"42,563"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,10,"42,689"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,11,"42,813"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,12,"42,936"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,13,"43,069"

SERVICE_STAFF,PORTER/ATTENDANT,1,"36,456"
SERVICE_STAFF,PORTER/ATTENDANT,2,"37,227"
SERVICE_STAFF,PORTER/ATTENDANT,3,"39,454"
SERVICE_STAFF,PORTER/ATTENDANT,4,"39,644"
SERVICE_STAFF,PORTER/ATTENDANT,5,"39,821"
SERVICE_STAFF,PORTER/ATTENDANT,6,"39,919"
SERVICE_STAFF,PORTER/ATTENDANT,7,"40,032"
SERVICE_STAFF,PORTER/ATTENDANT,8,"40,032"
SERVICE_STAFF,PORTER/ATTENDANT,9,"40,032"
SERVICE_STAFF,PORTER/ATTENDANT,10,"40,032"
SERVICE_STAFF,PORTER/ATTENDANT,11,"40,099"
SERVICE_STAFF,PORTER/ATTENDANT,12,"40,214"
SERVICE_STAFF,PORTER/ATTENDANT,13,"40,327"
SERVICE_STAFF,PORTER/ATTENDANT,14,"40,440"
SERVICE_STAFF,PORTER/ATTENDANT,15,"40,552"

SERVICE_STAFF,GROUNDS_SUPERVISOR,1,"40,712"
SERVICE_STAFF,GROUNDS_SUPERVISOR,2,"40,895"
SERVICE_STAFF,GROUNDS_SUPERVISOR,3,"41,086"
SERVICE_STAFF,GROUNDS_SUPERVISOR,4,"41,188"
SERVICE_STAFF,GROUNDS_SUPERVISOR,5,"41,295"
SERVICE_STAFF,GROUNDS_SUPERVISOR,6,"41,402"
SERVICE_STAFF,GROUNDS_SUPERVISOR,7,"41,498"
SERVICE_STAFF,GROUNDS_SUPERVISOR,8,"41,609"
SERVICE_STAFF,GROUNDS_SUPERVISOR,9,"€41,720"
SERVICE_STAFF,GROUNDS_SUPERVISOR,10,"41,828"
SERVICE_STAFF,GROUNDS_SUPERVISOR,11,"41,944"
SERVICE_STAFF,GROUNDS_SUPERVISOR,12,"42,060"
SERVICE_STAFF,GROUNDS_SUPERVISOR,13,"42,165"

SERVICE_STAFF,GROUNDSWORKPERSON,1,"35,063"
SERVICE_STAFF,GROUNDSWORKPERSON,2,"35,795"
SERVICE_STAFF,GROUNDSWORKPERSON,3,"38,451"
SERVICE_STAFF,GROUNDSWORKPERSON,4,"38,637"
SERVICE_STAFF,GROUNDSWORKPERSON,5,"38,810"
SERVICE_STAFF,GROUNDSWORKPERSON,6,"38,906"
SERVICE_STAFF,GROUNDSWORKPERSON,7,"39,009"
SERVICE_STAFF,GROUNDSWORKPERSON,8,"39,104"
SERVICE_STAFF,GROUNDSWORKPERSON,9,"39,206"
SERVICE_STAFF,GROUNDSWORKPERSON,10,"39,304"
SERVICE_STAFF,GROUNDSWORKPERSON,11,"39,415"
SERVICE_STAFF,GROUNDSWORKPERSON,12,"39,522"
SERVICE_STAFF,GROUNDSWORKPERSON,13,"39,632"
SERVICE_STAFF,GROUNDSWORKPERSON,14,"39,744"
SERVICE_STAFF,GROUNDSWORKPERSON,15,"39,861"

SERVICE_STAFF,SENIOR_AIDE,1,"40,827"
SERVICE_STAFF,SENIOR_AIDE,2,"41,026"
SERVICE_STAFF,SENIOR_AIDE,3,"41,209"
SERVICE_STAFF,SENIOR_AIDE,4,"41,317"
SERVICE_STAFF,SENIOR_AIDE,5,"41,420"
SERVICE_STAFF,SENIOR_AIDE,6,"41,534"
SERVICE_STAFF,SENIOR_AIDE,7,"41,635"
SERVICE_STAFF,SENIOR_AIDE,8,"41,745"
SERVICE_STAFF,SENIOR_AIDE,9,"41,859"
SERVICE_STAFF,SENIOR_AIDE,10,"41,975"
SERVICE_STAFF,SENIOR_AIDE,11,"42,089"
SERVICE_STAFF,SENIOR_AIDE,12,"42,206"
SERVICE_STAFF,SENIOR_AIDE,13,"42,318"

SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,1,"35,829"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,2,"36,585"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,3,"39,300"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,4,"39,493"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,5,"39,671"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,6,"39,864"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,7,"39,874"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,8,"39,979"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,9,"40,085"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,10,"40,085"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,11,"40,085"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,12,"40,085"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,13,"40,172"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,14,"40,286"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,15,"40,401"

SERVICE_STAFF,SERVICE_STAFF,1,"35,974"
SERVICE_STAFF,SERVICE_STAFF,2,"36,736"
SERVICE_STAFF,SERVICE_STAFF,3,"39,461"
SERVICE_STAFF,SERVICE_STAFF,4,"39,657"
SERVICE_STAFF,SERVICE_STAFF,5,"39,836"
SERVICE_STAFF,SERVICE_STAFF,6,"39,933"
SERVICE_STAFF,SERVICE_STAFF,7,"40,040"
SERVICE_STAFF,SERVICE_STAFF,8,"40,040"
SERVICE_STAFF,SERVICE_STAFF,9,"40,040"
SERVICE_STAFF,SERVICE_STAFF,10,"40,040"
SERVICE_STAFF,SERVICE_STAFF,11,"40,113"
SERVICE_STAFF,SERVICE_STAFF,12,"40,226"
SERVICE_STAFF,SERVICE_STAFF,13,"40,336"
SERVICE_STAFF,SERVICE_STAFF,14,"40,451"
SERVICE_STAFF,SERVICE_STAFF,15,"40,566"

SERVICE_STAFF,SERVICE_STAFF_SHIFT,1,"37,129"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,2,"37,898"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,3,"40,388"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,4,"40,578"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,5,"40,761"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,6,"40,861"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,7,"40,973"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,8,"41,074"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,9,"41,179"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,10,"41,284"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,11,"41,392"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,12,"41,506"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,13,"41,613"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,14,"41,733"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,15,"41,846"

SERVICE_STAFF,PLANT_MAINTENANCE_AIDE,1,"40,053"
SERVICE_STAFF,PLANT_MAINTENANCE_AIDE,2,"43,995"

SERVICE_STAFF,GROUNDS_FOREPERSON,1,"49,333"
SERVICE_STAFF,GROUNDS_FOREPERSON,2,"50,369"
SERVICE_STAFF,GROUNDS_FOREPERSON,3,"51,204"
SERVICE_STAFF,GROUNDS_FOREPERSON,4,"52,137"
SERVICE_STAFF,GROUNDS_FOREPERSON,5,"53,117"
SERVICE_STAFF,GROUNDS_FOREPERSON,6,"54,078"

#TEACHERS

TEACHERS,TEACHING_FELLOW,1,"62,069"
TEACHERS,TEACHING_FELLOW,2,"73,092"
TEACHERS,TEACHING_FELLOW,3,"77,007"
TEACHERS,TEACHING_FELLOW,4,"79,703"
TEACHERS,TEACHING_FELLOW,5,"83,634"
TEACHERS,TEACHING_FELLOW,6,"87,605"
TEACHERS,TEACHING_FELLOW,7,"91,562"
TEACHERS,TEACHING_FELLOW,8,"95,514"
TEACHERS,TEACHING_FELLOW,9,"99,471"

TEACHERS,UNIVERSITY_TEACHER,1,"46,955"
TEACHERS,UNIVERSITY_TEACHER,2,"49,543"
TEACHERS,UNIVERSITY_TEACHER,3,"51,676"
TEACHERS,UNIVERSITY_TEACHER,4,"53,644"
TEACHERS,UNIVERSITY_TEACHER,5,"55,689"
TEACHERS,UNIVERSITY_TEACHER,6,"57,323"
TEACHERS,UNIVERSITY_TEACHER,7,"58,990"
TEACHERS,UNIVERSITY_TEACHER,8,"60,654"
TEACHERS,UNIVERSITY_TEACHER,9,"62,314"
TEACHERS,UNIVERSITY_TEACHER,10,"63,965"

TEACHERS,ASSOCIATE_TEACHER,1,"37,008"
TEACHERS,ASSOCIATE_TEACHER,2,"39,126"
TEACHERS,ASSOCIATE_TEACHER,3,"40,060"
TEACHERS,ASSOCIATE_TEACHER,4,"41,945"
TEACHERS,ASSOCIATE_TEACHER,5,"43,130"
TEACHERS,ASSOCIATE_TEACHER,6,"44,464"
TEACHERS,ASSOCIATE_TEACHER,7,"45,716"
TEACHERS,ASSOCIATE_TEACHER,8,"46,978"
TEACHERS,ASSOCIATE_TEACHER,9,"47,948"
TEACHERS,ASSOCIATE_TEACHER,10,"50,419"

#CLINICAL

CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,1,"62,038"
CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,2,"63,360"
CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,3,"64,724"
CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,4,"66,076"
CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,5,"67,430"
CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,6,"68,853"
CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,7,"70,352"
CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,8,"71,848"
CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,9,"73,048"

CLINICAL,CLINICAL_TUTOR,1,"66,452"
CLINICAL,CLINICAL_TUTOR,2,"69,009"
CLINICAL,CLINICAL_TUTOR,3,"71,509"
CLINICAL,CLINICAL_TUTOR,4,"73,344"
CLINICAL,CLINICAL_TUTOR,5,"75,794"
CLINICAL,CLINICAL_TUTOR,6,"78,252"

CLINICAL,CLINICAL_FELLOW,1,"74,499"
CLINICAL,CLINICAL_FELLOW,2,"76,258"
CLINICAL,CLINICAL_FELLOW,3,"78,804"
CLINICAL,CLINICAL_FELLOW,4,"81,095"
CLINICAL,CLINICAL_FELLOW,5,"84,824"
CLINICAL,CLINICAL_FELLOW,6,"88,562"
CLINICAL,CLINICAL_FELLOW,7,"92,294"

#ULAC

ULAC,Assistant_Senior_Instructor,1,"31,099"

ULAC,Lead_Instructor,1,"29,370"

ULAC,Multi_Activity_Instructor_(Grade_1),1,"25,334"
ULAC,Multi_Activity_Instructor_(Grade_1),2,"27,639"

ULAC,Multi_Activity_Instructor_(Grade_2),1,"25,910"

ULAC,Assistant_Instructor,1,"23,363"
ULAC,Assistant_Instructor,2,"25,576"

ULAC,CO-OP_STUDENTS,1,"25,306"
ULAC,CO-OP_STUDENTS,2,"25,350"
